"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000236,Jennifer Tilly,actress,5,393938016
nm0000237,John Travolta,actor,11,1178047616
nm0000239,Liv Tyler,actress,4,404916736
nm0000241,Jean-Claude Van Damme,actor,4,53523072
nm0000242,Mark Wahlberg,actor,23,4366449664
nm0000242,Mark Wahlberg,producer,1,49263404
nm0000243,Denzel Washington,actor,20,2171759872
nm0000244,Sigourney Weaver,actress,13,3649118464
nm0000245,Robin Williams,actor,12,1485269760
nm0000246,Bruce Willis,actor,23,2932819968
nm0000247,John Woo,actor,1,58309288
nm0000247,John Woo,director,4,400196032
nm0000249,James Woods,actor,6,189656896
nm0000250,Renée Zellweger,actress,11,1040207360
nm0000254,Isabelle Adjani,actress,2,14765840
nm0000255,Ben Affleck,actor,15,3553526272
nm0000255,Ben Affleck,director,1,34612444
nm0000256,Jenny Agutter,actress,1,28501604
nm0000257,Alan Alda,actor,5,257542400
nm0000260,Joan Allen,actress,6,565601664
nm0000261,Karen Allen,actress,2,61224464
nm0000262,Nancy Allen,actress,2,67539168
nm0000263,Kirstie Alley,actress,4,224522592
nm0000264,Pedro Almodóvar,director,6,256885376
nm0000265,Robert Altman,director,3,114522912
nm0000267,Julie Andrews,actress,4,1588417152
nm0000268,Ann-Margret,actress,5,177747968
nm0000269,Jean-Jacques Annaud,director,4,292138880
nm0000271,Anne Archer,actress,1,156645696
nm0000272,Fanny Ardant,actress,1,42426584
nm0000273,Alan Arkin,actor,7,1598014848
nm0000274,David Arquette,actor,3,194156288
nm0000275,Rosanna Arquette,actress,5,119552288
nm0000276,Sean Astin,actor,2,202761456
nm0000277,Richard Attenborough,director,1,5899797.0
nm0000279,Hank Azaria,actor,4,1013237824
nm0000282,Scott Bairstow,actor,1,8878839.0
nm0000284,Adam Baldwin,actor,2,62300304
nm0000285,Alec Baldwin,actor,14,1409547776
nm0000287,William Baldwin,actor,1,11534477
nm0000288,Christian Bale,actor,10,2483546368
nm0000289,Ellen Barkin,actress,6,81171944
nm0000289,Ellen Barkin,producer,1,79293440
nm0000291,Angela Bassett,actress,7,1388696576
nm0000293,Sean Bean,actor,3,133621216
nm0000295,Kate Beckinsale,actress,8,1470072576
nm0000296,Robert Beltran,actor,1,2156471.0
nm0000297,Tom Berenger,actor,7,266852448
nm0000298,Candice Bergen,actress,3,150198432
nm0000299,Michael Biehn,actor,4,197050848
nm0000300,Juliette Binoche,actress,4,86992408
nm0000301,Thora Birch,actress,2,383408928
nm0000302,Jacqueline Bisset,actress,1,2156471.0
nm0000307,Helena Bonham Carter,actress,5,526778304
nm0000308,Ernest Borgnine,actor,1,623112.0
nm0000309,David Bowie,actor,2,13836970
nm0000313,Jeff Bridges,actor,17,1062597312
nm0000314,Charles Bronson,actor,5,29395260
nm0000316,Mel Brooks,actor,3,311403104
nm0000317,Clancy Brown,actor,7,423253632
nm0000318,Tim Burton,director,6,923831168
nm0000318,Tim Burton,producer,4,648387776
nm0000321,Gabriel Byrne,actor,6,471105568
nm0000322,Emmanuelle Béart,actress,2,44415544
nm0000323,Michael Caine,actor,14,2265138944
nm0000324,Barbara Carrera,actress,1,69342.0
nm0000325,David Caruso,actor,4,33003908
nm0000326,Kim Cattrall,actress,8,799801600
nm0000327,Lacey Chabert,actress,3,137456080
nm0000329,Jackie Chan,actor,17,2003101568
nm0000329,Jackie Chan,producer,1,21120000
nm0000330,Stockard Channing,actress,3,48215040
nm0000331,Chevy Chase,actor,8,383243776
nm0000332,Don Cheadle,actor,11,1869493120
nm0000333,Cher,actress,5,624018624
nm0000334,Chow Yun-Fat,actor,12,1303099392
nm0000335,Glenn Close,actress,7,461775584
nm0000336,James Coburn,actor,1,115035088
nm0000337,Rachael Leigh Cook,actress,2,27881586
nm0000338,Francis Ford Coppola,director,4,77060992
nm0000339,Roger Corman,producer,2,2628673.0
nm0000340,Cindy Crawford,actress,1,11534477
nm0000341,Michael Crichton,director,1,3560932.0
nm0000342,James Cromwell,actor,4,374060576
nm0000343,David Cronenberg,director,2,48495072
nm0000344,Denise Crosby,actress,2,62070724
nm0000345,Billy Crystal,actor,6,281386688
nm0000346,Macaulay Culkin,actor,1,66758536
nm0000347,Tim Curry,actor,4,200951232
nm0000349,Joan Cusack,actress,9,1472879104
nm0000350,Beverly D'Angelo,actress,5,132925776
nm0000352,Vincent D'Onofrio,actor,6,402954208
nm0000353,Willem Dafoe,actor,17,2028630784
nm0000354,Matt Damon,actor,16,3214763008
nm0000354,Matt Damon,producer,1,78988144
nm0000356,Sybil Danning,actress,1,2510433.0
nm0000357,Lolita Davidovich,actress,2,27810058
nm0000358,Daniel Day-Lewis,actor,7,671759168
nm0000360,Rebecca De Mornay,actress,5,20976612
nm0000361,Brian De Palma,director,6,246930752
nm0000362,Danny DeVito,actor,15,943247168
nm0000362,Danny DeVito,producer,4,508961920
