"tconst","title","release_year","release_date","budget","worldwide_box_office","domestic_box_office","foreign_box_office","imdb_raiting","numvotes","genre"
tt0109021,"8 Seconds",1994,1994-02-25,"0",19623396,19623396,,6.50,5302,Biography
tt0283832,"8 Women",2002,2002-01-08,"8000000",42426584,3098776.0,39327808,7.00,32422,Comedy
tt0090570,"84 Charing Cross Road",1987,1987-02-13,"0",1083486.0,1083486.0,,7.40,10251,Biography
tt0411061,"88 Minutes",2007,2007-02-14,"30000000",32593384,17213468,15379918,5.90,76498,Crime
tt0134273,"8MM",1999,1999-02-26,"40000000",96618696,36663316,59955384,6.50,133542,Crime
tt0472033,"9",2009,2009-08-19,"30000000",48428064,31749894,16678169,7.00,140239,Action
tt0080319,"9 to 5",1980,1980-12-18,"0",103290496,103290496,,6.90,33916,Comedy
,"976-EVIL",1989,,,2955917.0,2955917.0,,,,
tt0417397,"9th Company",2005,2005-09-19,"9500000",26146164,,26146164,7.10,20823,Action
tt0091635,"9½ Weeks",1986,1986-02-14,"17000000",6735922.0,6735922.0,,5.90,41178,Drama
tt6359956,A Bad Moms Christmas,2017,,,130560432,72110656,58449768,5.50,50617,Comedy
tt3224458,A Beautiful Day in the Neighborhood,2019,,,67925736,61704056,6221678.0,7.20,79396,Biography
tt0268978,A Beautiful Mind,2001,2001-12-11,"60000000",313542336,170742336,142800000,8.20,924101,Biography
tt2800050,A Beautiful Planet,2016,2016-04-29,"0",25730120,15650615,10079505,7.30,1381,Documentary
tt1159231,A Beautiful Wife,2007,,,30385222,,30385222,5.20,1470,Comedy
tt0075784,A Bridge Too Far,1977,1977-06-15,"22000000",50750000,50750000,,7.40,56889,Drama
,A Brief History of Time,1992,,,2279692.0,2279692.0,,,,
tt0106489,A Bronx Tale,1993,1993-09-14,"22000000",17287898,17287898,,7.80,141569,Crime
,A Bug's Life,1998,,,363258848,162798560,200460288,,,
,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,2017,,,25960664,,25960664,,,
