budget,imdb_id,original_language,title,revenue,status
0,tt0016804,en,Don Juan,0,Released
0,tt0016822,en,Ella Cinders,0,Released
0,tt0016832,en,Exit Smiling,0,Released
0,tt0016847,de,Faust,0,Released
373000,tt0016884,en,Flesh and the Devil,658000,Released
0,tt0016895,en,For Heaven's Sake,0,Released
0,tt0016914,de,Secrets of a Soul,0,Released
0,tt0016938,en,The Great Gatsby,0,Released
0,tt0016939,en,The Great K&A Train Robbery,0,Released
0,tt0016953,de,The Holy Mountain,0,Released
0,tt0017029,en,Kiki,0,Released
0,tt0017048,ja,A Page of Madness,0,Released
12000,tt0017075,en,The Lodger: A Story of the London Fog,0,Released
0,tt0017103,en,The Magician,0,Released
0,tt0017119,en,Mantrap,0,Released
0,tt0017120,en,Mare Nostrum,0,Released
0,tt0017128,ru,Mother,0,Released
92620000,tt0017136,de,Metropolis,650422,Released
0,tt0017162,en,Moana,0,Released
0,tt0017196,fr,Nana,0,Released
0,tt0017226,en,Old Ironsides,0,Released
0,tt0017271,ru,By the Law,0,Released
0,tt0017350,en,The Scarlet Letter,0,Released
0,tt0017372,ru,"Stride, Soviet!",0,Released
0,tt0017374,en,The Shamrock Handicap,0,Released
0,tt0017376,ru,A Sixth Part of the World,0,Released
0,tt0017416,en,The Son of the Sheik,0,Released
0,tt0017418,en,The Forty-First,0,Released
463455,tt0017423,en,Sparrows,966878,Released
0,tt0017437,en,The Strong Man,0,Rumored
0,tt0017448,de,Tartuffe,0,Released
0,tt0017449,en,The Temptress,0,Released
0,tt0017463,en,3 Bad Men,0,Released
0,tt0017534,en,West Point,0,Released
0,tt0017540,en,What Price Glory,0,Released
0,tt0017567,en,The Winning of Barbara Worth,0,Released
0,tt0017621,en,A Daughter Of Destiny,0,Released
0,tt0017632,en,Annie Laurie,0,Released
0,tt0017668,de,Berlin: Symphony of a Great City,0,Released
0,tt0017739,en,The Cat and the Canary,0,Released
0,tt0017743,en,Chang: A Drama of the Wilderness,0,Released
0,tt0017750,en,Chicago,0,Released
0,tt0017765,en,College,0,Released
0,tt0017775,fr,The Seashell and the Clergyman,0,Released
0,tt0017809,ru,The Girl with the Hat Box,0,Released
0,tt0017813,en,Do Detectives Think?,0,Released
0,tt0017825,en,Downhill,0,Released
0,tt0017843,en,Easy Virtue,0,Released
0,tt0017918,en,The Gaucho,0,Released
750000,tt0017925,en,The General,0,Released
0,tt0017961,ru,Happiness,0,Released
0,tt0017998,en,Hindle Wakes,0,Released
0,tt0018033,en,It,0,Released
0,tt0018037,en,The Jazz Singer,0,Released
0,tt0018051,en,The Kid Brother,0,Released
2500000,tt0018054,en,The King of Kings,0,Released
0,tt0018066,ru,The End of St. Petersburg,0,Released
152000,tt0018097,en,London After Midnight,0,Released
0,tt0018102,en,Long Pants,0,Released
0,tt0018107,en,Love,0,Released
0,tt0018166,en,Mockery,0,Released
0,tt0018179,en,Mr. Wu,0,Released
483103,tt0018183,en,My Best Girl,1027757,Released
0,tt0018187,en,Le mystère de la tour Eiffel,0,Released
0,tt0018192,fr,Napoleon,0,Released
0,tt0018217,ru,October (Ten Days that Shook the World),0,Released
0,tt0018218,en,Old San Francisco,0,Released
0,tt0018253,en,The Patent Leather Kid,0,Released
0,tt0018311,en,The Red Mill,0,Released
0,tt0018328,en,The Ring,0,Released
0,tt0018379,en,7th Heaven,0,Released
0,tt0018392,en,Shooting Stars,0,Released
0,tt0018397,en,The Show,0,Released
0,tt0018440,en,Spring Fever,0,Released
